"Neighborhood","Time_Col","gi_star","p_sim","significance"
"Arbutus Ridge",2020-08-31,2.05875242081647,0.2,""
"Arbutus Ridge",2020-09-30,2.81373492026235,0.15,""
"Arbutus Ridge",2020-10-31,2.45378996653399,0.18,""
"Arbutus Ridge",2020-11-30,4.47725766552721,0.16,""
"Arbutus Ridge",2020-12-31,2.6577101009208,0.265,""
"Arbutus Ridge",2021-01-31,2.01308287848835,0.32,""
"Arbutus Ridge",2021-02-28,3.79842094936478,0.37,""
"Arbutus Ridge",2021-03-31,2.53124851638673,0.465,""
"Arbutus Ridge",2021-04-30,2.7370765503993,0.49,""
"Arbutus Ridge",2021-05-31,1.78731262836968,0.49,""
"Arbutus Ridge",2021-06-30,2.30869606823455,0.47,""
"Arbutus Ridge",2021-07-31,1.59778159912756,0.39,""
"Arbutus Ridge",2021-08-31,2.43600816014451,0.2,""
"Arbutus Ridge",2021-09-30,2.80082755523315,0.19,""
"Arbutus Ridge",2021-10-31,3.17646400774514,0.34,""
"Arbutus Ridge",2021-11-30,2.75633168194497,0.265,""
"Arbutus Ridge",2021-12-31,3.27424376123119,0.3,""
"Arbutus Ridge",2022-01-31,2.63354894922787,0.335,""
"Arbutus Ridge",2022-02-28,2.53020756474309,0.395,""
"Arbutus Ridge",2022-03-31,1.57195944198617,0.33,""
"Arbutus Ridge",2022-04-30,2.50620307640985,0.255,""
"Arbutus Ridge",2022-05-31,2.58995829948147,0.415,""
"Arbutus Ridge",2022-06-30,2.13025138200375,0.34,""
"Arbutus Ridge",2022-07-31,2.76213377086988,0.31,""
"Arbutus Ridge",2022-08-31,2.3765190511822,0.31,""
"Arbutus Ridge",2022-09-30,2.75348191188288,0.205,""
"Arbutus Ridge",2022-10-31,2.82944767808247,0.245,""
"Arbutus Ridge",2022-11-30,3.53116534285667,0.37,""
"Arbutus Ridge",2022-12-31,1.84232094696011,0.385,""
"Arbutus Ridge",2023-01-31,1.7223943103908,0.425,""
"Arbutus Ridge",2023-02-28,3.23454071714373,0.39,""
"Arbutus Ridge",2023-03-31,1.70472151537191,0.37,""
"Arbutus Ridge",2023-04-30,3.39717531290934,0.345,""
"Arbutus Ridge",2023-05-31,1.4730480784891,0.42,""
"Arbutus Ridge",2023-06-30,2.33836199143203,0.23,""
"Arbutus Ridge",2023-07-31,2.3211376707424,0.225,""
"Arbutus Ridge",2023-08-31,2.34842961740481,0.15,""
"Arbutus Ridge",2023-09-30,3.81654798828309,0.195,""
"Arbutus Ridge",2023-10-31,2.64212484500595,0.2,""
"Arbutus Ridge",2023-11-30,4.09054514267096,0.345,""
"Arbutus Ridge",2023-12-31,2.09917664207908,0.465,""
"Arbutus Ridge",2024-01-31,2.93819134102688,0.43,""
"Arbutus Ridge",2024-02-29,2.75167049348859,0.445,""
