"Neighborhood","Time_Col","gi_star","p_folded_sim"
"Sunset",2010-11-01,-1.24831254613479,0.145
"West Point Grey",2010-11-01,-0.402665941080339,0.405
"Dunbar-Southlands",2010-11-01,-0.922652180108778,0.23
"Fairview",2010-11-01,2.33683285084612,0.1
"Mount Pleasant",2010-11-01,2.46713217623827,0.035
"Renfrew-Collingwood",2010-11-01,-0.0435898667767928,0.4
"West End",2010-11-01,3.18018391710442,0.015
"Downtown",2010-12-01,4.36649402262808,0.01
"Hastings-Sunrise",2010-12-01,0.0740651221479787,0.195
"Kerrisdale",2010-12-01,-1.50975600181937,0.045
"Marpole",2010-12-01,-1.20811141864326,0.11
"Oakridge",2010-12-01,-1.69557842665858,0.015
"Riley Park",2010-12-01,-0.729849728256031,0.395
"South Cambie",2010-12-01,-1.00504741076253,0.385
"Shaughnessy",2010-12-01,-1.21853172021876,0.2
"Victoria-Fraserview",2010-12-01,-0.773475253400009,0.44
"Arbutus Ridge",2010-12-01,-1.12536650605467,0.26
"Grandview-Woodland",2010-12-01,0.370171317727626,0.285
"Kensington-Cedar Cottage",2010-12-01,-0.316680897331314,0.485
"Killarney",2010-12-01,-0.745376284654461,0.375
"Kitsilano",2010-12-01,1.5502875300729,0.13
"Strathcona",2010-12-01,2.33123007416589,0.025
"Sunset",2010-12-01,-1.13723299413456,0.21
"West Point Grey",2010-12-01,-0.614770528582263,0.35
"Dunbar-Southlands",2010-12-01,-0.886583156039006,0.15
"Fairview",2010-12-01,1.78935056041125,0.105
"Mount Pleasant",2010-12-01,1.80073451423688,0.05
"Renfrew-Collingwood",2010-12-01,-0.421584000745352,0.41
"West End",2010-12-01,3.05245437836096,0.01
"Downtown",2011-01-01,4.12578776120087,0.025
"Hastings-Sunrise",2011-01-01,-0.162784504571241,0.21
"Kerrisdale",2011-01-01,-1.64957037744764,0.025
"Marpole",2011-01-01,-1.10362375980503,0.155
"Oakridge",2011-01-01,-1.74981800638951,0.03
"Riley Park",2011-01-01,-0.388180780263606,0.445
"South Cambie",2011-01-01,-1.02151724653078,0.485
"Shaughnessy",2011-01-01,-1.55152132297311,0.07
"Victoria-Fraserview",2011-01-01,0.367359551920186,0.375
"Arbutus Ridge",2011-01-01,-1.40323560291775,0.17
"Grandview-Woodland",2011-01-01,0.281685592815125,0.265
"Kensington-Cedar Cottage",2011-01-01,0.428005126061588,0.315
"Killarney",2011-01-01,-0.233829266754191,0.14
